,time after photobleach,total fluorescence intensity,filename
0,0.0,378855280.0,211101_mt_photobleach
1,100.0,381502992.0,211101_mt_photobleach
2,200.0,383688496.0,211101_mt_photobleach
3,300.0,383943312.0,211101_mt_photobleach
4,400.0,386463264.0,211101_mt_photobleach
5,500.0,388840272.0,211101_mt_photobleach
6,600.0,389211792.0,211101_mt_photobleach
7,700.0,389148480.0,211101_mt_photobleach
8,800.0,389010288.0,211101_mt_photobleach
9,900.0,390484560.0,211101_mt_photobleach
10,1000.0,391205472.0,211101_mt_photobleach
11,1100.0,391455888.0,211101_mt_photobleach
12,1200.0,392018240.0,211101_mt_photobleach
13,1300.0,392067904.0,211101_mt_photobleach
14,1400.0,392757264.0,211101_mt_photobleach
15,1500.0,393819232.0,211101_mt_photobleach
16,1600.0,393706112.0,211101_mt_photobleach
17,1700.0,393067248.0,211101_mt_photobleach
18,1800.0,393339312.0,211101_mt_photobleach
19,1900.0,393794944.0,211101_mt_photobleach
20,2000.0,393791008.0,211101_mt_photobleach
21,2100.0,395163648.0,211101_mt_photobleach
22,2200.0,396314064.0,211101_mt_photobleach
23,2300.0,395392912.0,211101_mt_photobleach
24,2400.0,395906464.0,211101_mt_photobleach
25,2500.0,395967056.0,211101_mt_photobleach
26,2600.0,396678048.0,211101_mt_photobleach
27,2700.0,396052608.0,211101_mt_photobleach
28,2800.0,397095200.0,211101_mt_photobleach
29,2900.0,396600400.0,211101_mt_photobleach
30,3000.0,397365184.0,211101_mt_photobleach
31,3100.0,396150752.0,211101_mt_photobleach
32,3200.0,395803888.0,211101_mt_photobleach
33,3300.0,395314912.0,211101_mt_photobleach
34,3400.0,394984672.0,211101_mt_photobleach
35,3500.0,394904992.0,211101_mt_photobleach
36,3600.0,395016528.0,211101_mt_photobleach
37,3700.0,394478896.0,211101_mt_photobleach
38,3800.0,395408944.0,211101_mt_photobleach
39,3900.0,393857616.0,211101_mt_photobleach
40,4000.0,394013968.0,211101_mt_photobleach
41,4100.0,395363776.0,211101_mt_photobleach
42,4200.0,395774784.0,211101_mt_photobleach
43,4300.0,394863008.0,211101_mt_photobleach
